model_id,model,training_seed,aggregation,mean_stale_attention_shift,n_stale_exposed_decisions
B2_gat,GAT,42,default_mean,0.004673090793326446,31
B2_gat,GAT,42,first_head_0,0.006141435495208802,31
B2_gat,GAT,42,first_head_1,-0.005401766120360479,31
B2_gat,GAT,42,first_head_2,0.007691506515388081,31
B2_gat,GAT,42,first_head_3,0.00390843250344535,31
B2_gat,GAT,42,first_max,0.0025113146718525477,31
B2_gat,GAT,42,first_mean,0.0030849032593970927,31
B2_gat,GAT,42,last_head_0,0.008220239759495528,31
B2_gat,GAT,42,last_head_1,0.006473679281823152,31
B2_gat,GAT,42,last_head_2,0.00010706307605007303,31
B2_gat,GAT,42,last_head_3,0.010244119529709165,31
B2_gat,GAT,42,last_max,0.007178259294189453,31
B2_gat,GAT,42,last_mean,0.006261277412936145,31
B2_gat,GAT,42,rollout_mean,0.002629051054653245,31
B2_gat,GAT,43,default_mean,-0.00015869987200008246,29
B2_gat,GAT,43,first_head_0,-0.005515074635741413,29
B2_gat,GAT,43,first_head_1,0.002441313539708908,29
B2_gat,GAT,43,first_head_2,0.007738069143538511,29
B2_gat,GAT,43,first_head_3,-0.0012949054449316944,29
B2_gat,GAT,43,first_max,-0.0020773164028185897,29
B2_gat,GAT,43,first_mean,0.0008423517978653364,29
B2_gat,GAT,43,last_head_0,-0.0016824843092760194,29
B2_gat,GAT,43,last_head_1,0.0013870772079589509,29
B2_gat,GAT,43,last_head_2,-0.0012056313029909418,29
B2_gat,GAT,43,last_head_3,-0.0031379754110599733,29
B2_gat,GAT,43,last_max,-0.0017585386056918,29
B2_gat,GAT,43,last_mean,-0.0011597532392843572,29
B2_gat,GAT,43,rollout_mean,-0.0001217577858026472,29
B2_gat,GAT,44,default_mean,-0.0031804875386207245,31
B2_gat,GAT,44,first_head_0,-0.007551805985847351,31
B2_gat,GAT,44,first_head_1,0.0031964495510392746,31
B2_gat,GAT,44,first_head_2,-0.001066573198111278,31
B2_gat,GAT,44,first_head_3,0.0041387502711795416,31
B2_gat,GAT,44,first_max,-0.003473897760971207,31
B2_gat,GAT,44,first_mean,-0.00032080073289588834,31
B2_gat,GAT,44,last_head_0,-0.005454122399696366,31
B2_gat,GAT,44,last_head_1,-0.0016884115826432697,31
B2_gat,GAT,44,last_head_2,-0.010990218812054921,31
B2_gat,GAT,44,last_head_3,-0.006027957034584688,31
B2_gat,GAT,44,last_max,-0.006627586734739224,31
B2_gat,GAT,44,last_mean,-0.006040173243013602,31
B2_gat,GAT,44,rollout_mean,-0.0010396661480446738,31
H5_gat_degraded,GAT-Outage,42,default_mean,0.00493178111302914,33
H5_gat_degraded,GAT-Outage,42,first_head_0,0.007660491111687203,33
H5_gat_degraded,GAT-Outage,42,first_head_1,-0.0065181358776825,33
H5_gat_degraded,GAT-Outage,42,first_head_2,0.008545495796806104,33
H5_gat_degraded,GAT-Outage,42,first_head_3,0.005690851599057116,33
H5_gat_degraded,GAT-Outage,42,first_max,0.004275849546857038,33
H5_gat_degraded,GAT-Outage,42,first_mean,0.0038446762633068004,33
H5_gat_degraded,GAT-Outage,42,last_head_0,0.008095369676092803,33
H5_gat_degraded,GAT-Outage,42,last_head_1,0.006251064402422751,33
H5_gat_degraded,GAT-Outage,42,last_head_2,-0.0028500402872838762,33
H5_gat_degraded,GAT-Outage,42,last_head_3,0.012579134047689325,33
H5_gat_degraded,GAT-Outage,42,last_max,0.00687346833222799,33
H5_gat_degraded,GAT-Outage,42,last_mean,0.006018883610594614,33
