model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,GAT,clean,42,attention_control_def_m,-0.0008297103629100807,9,119
B2_gat,GAT,clean,43,attention_control_def_m,-0.0029140317094754073,9,119
B2_gat,GAT,clean,44,attention_control_def_m,-0.00032002603204707593,9,118
B2_gat,GAT,outage_60s,42,attention_control_def_m,-0.0005711517139040338,9,119
B2_gat,GAT,outage_60s,43,attention_control_def_m,-0.0023832892368403306,9,119
B2_gat,GAT,outage_60s,44,attention_control_def_m,-0.00012645606817294886,9,118
H5_gat_degraded,GAT-Outage,clean,42,attention_control_def_m,-0.00034314463095750703,9,119
H5_gat_degraded,GAT-Outage,clean,43,attention_control_def_m,-0.0005385651169210277,9,118
H5_gat_degraded,GAT-Outage,clean,44,attention_control_def_m,-0.0009049219864022501,9,117
H5_gat_degraded,GAT-Outage,outage_60s,42,attention_control_def_m,-0.0002167754031735559,9,119
H5_gat_degraded,GAT-Outage,outage_60s,43,attention_control_def_m,-0.00037982758082777206,9,118
H5_gat_degraded,GAT-Outage,outage_60s,44,attention_control_def_m,-0.0007652541002081437,9,117
B2_gat,GAT,clean,42,grad_x_input_def_m,-0.0018078405746490343,9,119
B2_gat,GAT,clean,43,grad_x_input_def_m,-0.0005130719390312336,9,119
B2_gat,GAT,clean,44,grad_x_input_def_m,0.0011566781095278342,9,118
B2_gat,GAT,outage_60s,42,grad_x_input_def_m,-0.0013419937125589494,9,119
B2_gat,GAT,outage_60s,43,grad_x_input_def_m,-8.292237107382625e-06,9,119
B2_gat,GAT,outage_60s,44,grad_x_input_def_m,0.0013551001204798571,9,118
H5_gat_degraded,GAT-Outage,clean,42,grad_x_input_def_m,-0.0005630408886863606,9,119
H5_gat_degraded,GAT-Outage,clean,43,grad_x_input_def_m,-0.0005084234928554127,9,118
H5_gat_degraded,GAT-Outage,clean,44,grad_x_input_def_m,-0.0006820289600880303,9,117
H5_gat_degraded,GAT-Outage,outage_60s,42,grad_x_input_def_m,-0.0006701172106225751,9,119
H5_gat_degraded,GAT-Outage,outage_60s,43,grad_x_input_def_m,-0.00015479000589586458,9,118
H5_gat_degraded,GAT-Outage,outage_60s,44,grad_x_input_def_m,-0.000833896627560462,9,117
B2_gat,GAT,clean,42,loo_oracle_def_m,0.003866406438528753,9,119
B2_gat,GAT,clean,43,loo_oracle_def_m,0.004650603583344743,9,119
B2_gat,GAT,clean,44,loo_oracle_def_m,0.008268318974001113,9,118
B2_gat,GAT,outage_60s,42,loo_oracle_def_m,0.003764036026833035,9,119
B2_gat,GAT,outage_60s,43,loo_oracle_def_m,0.004661583094408115,9,119
