model,training_seed,condition,outage_duration_s,configured_random_trigger_rate,empirical_degradation_rate,stale_exposed_decision_rate,stale_attention_shift,stale_attention_ci_low,stale_attention_ci_high,paired_probability_def_shift,paired_probability_def_ci_low,paired_probability_def_ci_high,n_stale_exposed_decisions,n_episode_blocks
B2_gat,42,tunnel,30.0,,0.02401081322966176,0.1476077366813709,0.0041841929444112105,0.004084540626020203,0.0042792950071999574,8.49323306501824e-05,7.144394607677505e-05,0.0001006208404208294,435,24
B2_gat,42,random,30.0,0.0023,0.004395470632903494,0.014266304347826086,0.006308556200359366,0.004829056599076655,0.007661529819666715,0.00019923196292467917,0.00010585766843712587,0.0002966749656479828,42,8
B2_gat,43,tunnel,30.0,,0.02359970502547073,0.14429193170405089,8.752757874523252e-06,-3.786584077196045e-05,5.0705226516034435e-05,0.00013999552348144134,8.5287262750978e-05,0.00020515731996021653,431,24
B2_gat,43,random,30.0,0.0023,0.00445088942985329,0.018406961178045515,-0.0005813514099384008,-0.002038704167361519,0.0004026184534389821,0.00010084599818265543,-3.7667058585664704e-06,0.0002028858191333676,55,10
B2_gat,44,tunnel,30.0,,0.023886929306244274,0.1471481606479919,-0.0028192125284695244,-0.0028764289040805855,-0.0027540077642187713,0.000208814479406538,0.00018745328210476625,0.00022948007765234734,436,24
B2_gat,44,random,30.0,0.0023,0.004838792042552211,0.015561569688768605,-0.005166850612221079,-0.006750085760961957,-0.0036688473469490474,0.00017962837542490932,3.676335933426314e-05,0.00033062551068092883,46,15
H5_gat_degraded,42,tunnel,30.0,,0.02351499862515619,0.14152514152514153,0.003674234853135223,0.0035708069583248857,0.003764949880518327,6.40671972909029e-05,4.243095747636003e-05,8.638036022514332e-05,425,24
H5_gat_degraded,42,random,30.0,0.0023,0.003383472954869264,0.015323117921385743,0.006533868085289255,0.003901001909384831,0.009726096118580595,0.00026616092325833614,0.00015753396888849817,0.00037405767754193164,46,10
H5_gat_degraded,43,tunnel,30.0,,0.023683918357588023,0.14472800537273336,0.000935779963914559,0.0008961183008639222,0.0009748021946530599,0.00017646702528307615,0.00015004026380313872,0.00020362759486863025,431,24
H5_gat_degraded,43,random,30.0,0.0023,0.004135232864196725,0.017797179314976493,0.0005052814257295484,0.00032181240869513675,0.0006675008464000131,0.00012784869731625635,5.321969677295126e-05,0.00021819594133246057,53,8
H5_gat_degraded,44,tunnel,30.0,,0.023500653622393012,0.14285714285714285,-0.003831214806967758,-0.0039570874972519945,-0.0036762179369136815,4.353266889004498e-05,3.272490515717661e-05,5.358037450581869e-05,429,24
H5_gat_degraded,44,random,30.0,0.0023,0.004172437246923595,0.021992669110296566,-0.004475575399308425,-0.008450657947400573,-0.0019126207549690665,0.0001314631481954933,5.326014548630353e-05,0.00024685572422597344,66,12
