model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_primary_type_matched_def,mean_standard_type_matched_def_sensitivity,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_primary_type_matched_def_delta,mean_paired_primary_type_matched_def_m_delta
B2_gat,42,clean,0.0,8,12.5625,0.0,392,0,0,-0.00017579012733494152,-3.0328056369072348e-05,-0.0011535328949216263,0.0,,,,,,,
B2_gat,42,outage_duration,10.0,8,12.583333333333334,0.008296997985145079,727,335,335,-0.00010898139850001468,-1.6519686793241173e-05,-0.0007629052404209626,1.9137903021501233e-05,0.17139719188876726,0.15342349694022112,0.0027819726020178242,0.8567164179104477,0.028841387433714272,1.781457840506709e-05,9.919695889771918e-05
B2_gat,42,outage_duration,20.0,8,12.541666666666668,0.016597535442484063,991,615,615,-8.722726499656356e-05,-1.6910798341023412e-05,-0.0005832335591857274,3.899802711145002e-05,0.17130209851923767,0.14835660442270837,0.0036117386880864717,0.8439024390243902,0.04159021744717506,4.2724451883052366e-05,0.0002352515452599456
B2_gat,42,outage_duration,30.0,8,12.541666666666668,0.024338536873612475,1227,867,867,-6.070073220080981e-05,-1.222487353088391e-05,-0.0004053143046924584,5.491783086248444e-05,0.17152942100101384,0.14398980960370691,0.004202416780974924,0.8373702422145328,0.054510487242545085,7.145710143388475e-05,0.00039277466408613345
B2_gat,42,outage_duration,60.0,8,12.541666666666668,0.03193504444584376,1519,1190,1190,-3.007998312426955e-05,-9.104480540683539e-06,-0.0001885900587921948,7.332665830596292e-05,0.17287445572835541,0.1364809056552726,0.004794639745116456,0.8420168067226891,0.0756803492958127,0.00013764580059535665,0.000766533272606986
B2_gat,43,clean,0.0,8,12.833333333333332,0.0,397,0,0,-0.00028895822859963653,-0.004845191177948289,-0.0011217507684654867,0.0,,,,,,,
B2_gat,43,outage_duration,10.0,8,12.833333333333332,0.008153942549604023,729,332,332,-0.00013743172949474841,-0.0010727909213818802,-0.0005662625469582539,2.187790405935477e-06,0.16761779858723264,0.14451158789536758,-4.6676237556120207e-05,0.8253012048192772,0.027936300597105383,4.43379114191217e-05,0.00014212131126219033
B2_gat,43,outage_duration,20.0,8,12.791666666666666,0.01631245782382028,990,609,609,-0.0001490617651763117,-0.0012683867676838696,-0.0002167197462293562,4.565627283225132e-06,0.16692604307744918,0.13728127910592478,-5.3764962576919264e-05,0.7816091954022989,0.04041237431258505,7.789329828038918e-05,0.00024785252994504484
B2_gat,43,outage_duration,30.0,8,12.791666666666666,0.023880865937629253,1224,859,859,-0.00025452217183410356,0.0010709605588835186,-0.0009986922622234377,6.381920919884591e-06,0.16663784783694968,0.13149889003333923,3.17397311345113e-06,0.6961583236321304,0.05279756866734682,0.00010112151243356385,0.00037425186226291155
B2_gat,43,outage_duration,60.0,8,12.666666666666666,0.0317809463224821,1524,1189,1189,-0.0002807907353680174,0.0006092916025562921,-0.0015016863709039028,8.770147505530296e-06,0.1671393214494193,0.12186377529224152,0.00016670349020948247,0.7132043734230445,0.0736636023497031,0.00016469926535999678,0.0008101465600877708
