checkpoint,hypothesis,statistic,raw_p,holm_p,n,n_episode_blocks,ci95
B2_gat_seed_42,H1,0.18410575271796437,1.0,1.0,4008,240,"[0.14579233765421204, 0.2215189538461134]"
B2_gat_seed_42,H2,-0.5932936856290614,1.0,1.0,32,,null
B2_gat_seed_42,H3,0.4701454752651651,9.999000099990002e-05,0.00039996000399960006,4856,240,"[0.43629634160053876, 0.4996044161657856]"
B2_gat_seed_42,H4,0.39316443011561025,1.0,1.0,176,176,null
B2_gat_seed_43,H1,0.014504672531406082,0.7636236376362364,1.0,4016,240,"[-0.021795049348420602, 0.054164938984287425]"
B2_gat_seed_43,H2,-0.21396745741838064,0.995000499950005,1.0,32,,null
B2_gat_seed_43,H3,0.4752671591126312,9.999000099990002e-05,0.00039996000399960006,4864,240,"[0.4415300356153389, 0.5039518699761403]"
B2_gat_seed_43,H4,0.11159791851867305,1.0,1.0,176,176,null
B2_gat_seed_44,H1,0.22611657414491282,1.0,1.0,4004,240,"[0.18696001796034303, 0.26398883316241184]"
B2_gat_seed_44,H2,-3.1365813976657826,1.0,1.0,32,,null
B2_gat_seed_44,H3,0.45780956771608927,9.999000099990002e-05,0.00039996000399960006,4852,240,"[0.4248331949142818, 0.49013684333234614]"
B2_gat_seed_44,H4,0.5177878637074733,1.0,1.0,176,176,null
H5_gat_degraded_seed_42,H1,0.16819980939397453,1.0,1.0,4002,240,"[0.13326859878600764, 0.20195568433970584]"
H5_gat_degraded_seed_42,H2,-0.6256406864826503,1.0,1.0,32,,null
H5_gat_degraded_seed_42,H3,0.47682119217937347,9.999000099990002e-05,0.00039996000399960006,4850,240,"[0.4437600426043881, 0.5059027264373667]"
H5_gat_degraded_seed_42,H4,0.2916664700248769,1.0,1.0,176,176,null
H5_gat_degraded_seed_43,H1,0.1119513875420507,1.0,1.0,4010,240,"[0.07142290581403671, 0.15295944246863274]"
H5_gat_degraded_seed_43,H2,-0.963225723350857,1.0,1.0,32,,null
H5_gat_degraded_seed_43,H3,0.4707639500471435,9.999000099990002e-05,0.00039996000399960006,4858,240,"[0.43614214304941873, 0.5003543842115344]"
H5_gat_degraded_seed_43,H4,0.2820947535855631,1.0,1.0,176,176,null
H5_gat_degraded_seed_44,H1,0.020805055814491106,0.886011398860114,1.0,4010,240,"[-0.013653572942100569, 0.05457189194320006]"
H5_gat_degraded_seed_44,H2,-0.4994361300680459,1.0,1.0,32,,null
H5_gat_degraded_seed_44,H3,0.47684479007096275,9.999000099990002e-05,0.00039996000399960006,4858,240,"[0.44305567398140566, 0.5064459173807028]"
H5_gat_degraded_seed_44,H4,0.09683574766086013,0.9999000099990001,1.0,176,176,null
