checkpoint,condition,metric,mean,ci95_low,ci95_high,n_episode_blocks,n_decisions,n_missing_metric
B2_gat_seed_42,clean,primary_def,7.24707674394306e-05,4.4545041413133984e-05,0.00010429366688745526,26,41,0
B2_gat_seed_42,clean,primary_def_m,0.0004484330678088034,0.00027385983345472916,0.0006276655566488577,26,41,0
B2_gat_seed_42,outage_60s,primary_def,2.351097723582998e-05,1.4633433632105992e-05,3.317460318010116e-05,47,194,0
B2_gat_seed_42,outage_60s,primary_def_m,0.00014994393869333675,8.174673431955231e-05,0.0002205790356160146,47,194,0
B2_gat_seed_43,clean,primary_def,-0.0007318008601575997,-0.0014161770588049926,-0.0001556997029418434,37,64,0
B2_gat_seed_43,clean,primary_def_m,-0.0034748296088374046,-0.0068503882477266905,-0.0007582305860076413,37,64,0
B2_gat_seed_43,outage_60s,primary_def,-0.001047809096125233,-0.001451324102273405,-0.0006810688165165659,48,322,0
B2_gat_seed_43,outage_60s,primary_def_m,-0.004938963203745087,-0.006840513990325287,-0.003225862575513107,48,322,0
B2_gat_seed_44,clean,primary_def,6.0413943396674274e-06,-9.834905341267589e-06,2.6419514086511383e-05,25,40,0
B2_gat_seed_44,clean,primary_def_m,3.11579008897145e-05,-6.026571244001401e-05,0.00014450179653035267,25,40,0
B2_gat_seed_44,outage_60s,primary_def,-0.00011251673231354272,-0.00012870796029389544,-9.610890442757646e-05,46,209,0
B2_gat_seed_44,outage_60s,primary_def_m,-0.0008522007787998225,-0.0009644229424033723,-0.0007423206624620593,46,209,0
H5_gat_degraded_seed_42,clean,primary_def,0.00014341716742935544,0.00011520871262603658,0.00017137213162371137,41,92,0
H5_gat_degraded_seed_42,clean,primary_def_m,0.0006603161846969006,0.0005394396602753789,0.0007828760347587782,41,92,0
H5_gat_degraded_seed_42,outage_60s,primary_def,4.403993527003138e-05,3.145417479049259e-05,5.7302688840687474e-05,48,417,0
H5_gat_degraded_seed_42,outage_60s,primary_def_m,0.00017345632387316166,0.0001105028061890357,0.00024085258269727469,48,417,0
H5_gat_degraded_seed_43,clean,primary_def,2.3501219826417653e-05,-9.327091880746794e-06,5.569993495918788e-05,37,65,0
H5_gat_degraded_seed_43,clean,primary_def_m,0.0002656141223313215,7.763843720515929e-05,0.0004589734251076753,37,65,0
H5_gat_degraded_seed_43,outage_60s,primary_def,-3.6883656614580097e-05,-5.724878966437552e-05,-1.506174065283267e-05,48,324,0
H5_gat_degraded_seed_43,outage_60s,primary_def_m,-0.00010204693965527153,-0.00021620409555145933,2.1419620354396815e-05,48,324,0
H5_gat_degraded_seed_44,clean,primary_def,8.079012897279527e-05,3.055691278746557e-05,0.00013712200114710462,40,82,0
H5_gat_degraded_seed_44,clean,primary_def_m,0.0004604575320457419,0.00017528484576226504,0.0007820579884315117,40,82,0
H5_gat_degraded_seed_44,outage_60s,primary_def,2.9577927035298808e-05,-5.867652562733595e-06,6.767620604152863e-05,48,383,0
H5_gat_degraded_seed_44,outage_60s,primary_def_m,0.0002378142234985689,5.200760637497798e-05,0.0004468880285524721,48,383,0
