model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,GAT,clean,42,attention_control_def_m,-0.0011048258091375975,9,117
B2_gat,GAT,clean,43,attention_control_def_m,-0.0012001242879663052,9,117
B2_gat,GAT,clean,44,attention_control_def_m,-0.001124964000942774,9,118
B2_gat,GAT,clean,45,attention_control_def_m,7.278616678486712e-05,9,117
B2_gat,GAT,clean,46,attention_control_def_m,-0.0011795176563092569,9,118
B2_gat,GAT,outage_60s,42,attention_control_def_m,-0.0008695854181576205,9,117
B2_gat,GAT,outage_60s,43,attention_control_def_m,-0.0010377340874801943,9,117
B2_gat,GAT,outage_60s,44,attention_control_def_m,-0.000983281553708572,9,118
B2_gat,GAT,outage_60s,45,attention_control_def_m,3.578057818751436e-05,9,117
B2_gat,GAT,outage_60s,46,attention_control_def_m,-0.000980220018216251,9,118
H5_gat_degraded,GAT-Outage,clean,42,attention_control_def_m,-0.0011809375984069188,9,118
H5_gat_degraded,GAT-Outage,clean,43,attention_control_def_m,-0.007070301013265091,9,116
H5_gat_degraded,GAT-Outage,clean,44,attention_control_def_m,-0.0004666333521523015,9,118
H5_gat_degraded,GAT-Outage,clean,45,attention_control_def_m,-3.864811977219822e-05,9,116
H5_gat_degraded,GAT-Outage,clean,46,attention_control_def_m,-0.0037072215877331205,9,117
H5_gat_degraded,GAT-Outage,outage_60s,42,attention_control_def_m,-0.0010396714925053974,9,118
H5_gat_degraded,GAT-Outage,outage_60s,43,attention_control_def_m,-0.006191120201251561,9,116
H5_gat_degraded,GAT-Outage,outage_60s,44,attention_control_def_m,-0.00030329243988826013,9,118
H5_gat_degraded,GAT-Outage,outage_60s,45,attention_control_def_m,-0.00013211314088361177,9,116
H5_gat_degraded,GAT-Outage,outage_60s,46,attention_control_def_m,-0.00386975634239344,9,117
B2_gat,GAT,clean,42,grad_x_input_def_m,-0.002530623585163725,9,117
B2_gat,GAT,clean,43,grad_x_input_def_m,0.0005464234258455102,9,117
B2_gat,GAT,clean,44,grad_x_input_def_m,-0.0001625682396917698,9,118
B2_gat,GAT,clean,45,grad_x_input_def_m,-0.0006885317691547402,9,117
B2_gat,GAT,clean,46,grad_x_input_def_m,0.001003542499397652,9,118
B2_gat,GAT,outage_60s,42,grad_x_input_def_m,-0.0014017406756658638,9,117
B2_gat,GAT,outage_60s,43,grad_x_input_def_m,0.0006426135322042058,9,117
B2_gat,GAT,outage_60s,44,grad_x_input_def_m,-7.843546964000172e-05,9,118
B2_gat,GAT,outage_60s,45,grad_x_input_def_m,-0.0002859571569943422,9,117
B2_gat,GAT,outage_60s,46,grad_x_input_def_m,0.0010533342022380373,9,118
H5_gat_degraded,GAT-Outage,clean,42,grad_x_input_def_m,-0.0016714385672924072,9,118
H5_gat_degraded,GAT-Outage,clean,43,grad_x_input_def_m,7.234684532753489e-05,9,116
H5_gat_degraded,GAT-Outage,clean,44,grad_x_input_def_m,0.0004031025746062186,9,118
H5_gat_degraded,GAT-Outage,clean,45,grad_x_input_def_m,-0.0017242920794383837,9,116
H5_gat_degraded,GAT-Outage,clean,46,grad_x_input_def_m,0.003575860687284151,9,117
H5_gat_degraded,GAT-Outage,outage_60s,42,grad_x_input_def_m,-0.0016038244673444813,9,118
H5_gat_degraded,GAT-Outage,outage_60s,43,grad_x_input_def_m,0.00033349703263948756,9,116
H5_gat_degraded,GAT-Outage,outage_60s,44,grad_x_input_def_m,0.001305799440586868,9,118
H5_gat_degraded,GAT-Outage,outage_60s,45,grad_x_input_def_m,-0.0016424424175805572,9,116
H5_gat_degraded,GAT-Outage,outage_60s,46,grad_x_input_def_m,0.0035517794436728933,9,117
B2_gat,GAT,clean,42,loo_oracle_def_m,0.004872229885779449,9,117
B2_gat,GAT,clean,43,loo_oracle_def_m,0.0014091780987415415,9,117
B2_gat,GAT,clean,44,loo_oracle_def_m,0.003941766420379326,9,118
B2_gat,GAT,clean,45,loo_oracle_def_m,0.004505452364179591,9,117
B2_gat,GAT,clean,46,loo_oracle_def_m,0.0014115744294287348,9,118
B2_gat,GAT,outage_60s,42,loo_oracle_def_m,0.004341019290390832,9,117
B2_gat,GAT,outage_60s,43,loo_oracle_def_m,0.0016151233537265053,9,117
B2_gat,GAT,outage_60s,44,loo_oracle_def_m,0.0038125991452776222,9,118
B2_gat,GAT,outage_60s,45,loo_oracle_def_m,0.004202257475715013,9,117
B2_gat,GAT,outage_60s,46,loo_oracle_def_m,0.0013593344598933394,9,118
H5_gat_degraded,GAT-Outage,clean,42,loo_oracle_def_m,0.00429436129087656,9,118
H5_gat_degraded,GAT-Outage,clean,43,loo_oracle_def_m,0.0023765637796356602,9,116
H5_gat_degraded,GAT-Outage,clean,44,loo_oracle_def_m,0.005401742561088552,9,118
H5_gat_degraded,GAT-Outage,clean,45,loo_oracle_def_m,0.005846153235045979,9,116
H5_gat_degraded,GAT-Outage,clean,46,loo_oracle_def_m,0.0037225802571669037,9,117
H5_gat_degraded,GAT-Outage,outage_60s,42,loo_oracle_def_m,0.004130711810434145,9,118
H5_gat_degraded,GAT-Outage,outage_60s,43,loo_oracle_def_m,0.0023479039110327407,9,116
H5_gat_degraded,GAT-Outage,outage_60s,44,loo_oracle_def_m,0.00383357995671279,9,118
H5_gat_degraded,GAT-Outage,outage_60s,45,loo_oracle_def_m,0.00579125099310478,9,116
H5_gat_degraded,GAT-Outage,outage_60s,46,loo_oracle_def_m,0.003600893234378411,9,117
B2_gat,GAT,clean,42,taxi_attention_loo_spearman,0.08548692019025425,9,116
B2_gat,GAT,clean,43,taxi_attention_loo_spearman,-0.030520903773239183,9,116
B2_gat,GAT,clean,44,taxi_attention_loo_spearman,0.04586667048435364,9,118
B2_gat,GAT,clean,45,taxi_attention_loo_spearman,0.12505819031835666,9,117
B2_gat,GAT,clean,46,taxi_attention_loo_spearman,0.0057006411265598305,9,117
B2_gat,GAT,outage_60s,42,taxi_attention_loo_spearman,0.05897176867510271,9,116
B2_gat,GAT,outage_60s,43,taxi_attention_loo_spearman,-0.05366812692046233,9,116
B2_gat,GAT,outage_60s,44,taxi_attention_loo_spearman,0.06497718959487277,9,118
B2_gat,GAT,outage_60s,45,taxi_attention_loo_spearman,0.18024189550206182,9,117
B2_gat,GAT,outage_60s,46,taxi_attention_loo_spearman,-0.025083389657470954,9,117
