model,training_seed,condition,outage_duration_s,configured_random_trigger_rate,empirical_degradation_rate,stale_exposed_decision_rate,stale_attention_shift,stale_attention_ci_low,stale_attention_ci_high,paired_probability_def_shift,paired_probability_def_ci_low,paired_probability_def_ci_high,n_stale_exposed_decisions,n_episode_blocks
B2_gat,42,tunnel,30.0,,0.022532600018527013,0.14184873949579832,0.004143731048372706,0.003965862974596377,0.004294463834052431,6.835836003601763e-05,1.2592981348209631e-05,0.00014776243292319646,422,24
B2_gat,42,random,30.0,0.0023,0.00327080282495687,0.025210084033613446,0.0040032949290460425,0.0030815900438106395,0.00518312880737639,9.689532924669004e-05,-8.335697921504003e-05,0.00022168720844076506,75,10
B2_gat,43,tunnel,30.0,,0.02190517934409049,0.14498644986449866,0.0006708447587772101,0.0006340456633311879,0.0007015228316537339,0.00011509320433213815,7.025800459963354e-05,0.00015033270444919305,428,24
B2_gat,43,random,30.0,0.0023,0.0030176428554783918,0.016937669376693765,0.0005230568654342796,0.00026078377686385547,0.000930172618210463,0.00011216685476102328,2.0521587265771713e-05,0.00019430293637283586,50,8
B2_gat,44,tunnel,30.0,,0.02175395075646423,0.14357767316745124,-0.0035431839073049,-0.003799642195731915,-0.0032358015979625674,8.505143153873562e-05,6.750912608182314e-05,0.00010304946895889508,427,24
B2_gat,44,random,30.0,0.0023,0.003335746083886964,0.01815736381977135,-0.003406045298406691,-0.006361399483523936,-0.0012189564353366157,0.00012768498870915888,4.7566403410071175e-05,0.00022856943353048758,54,9
B2_gat,45,tunnel,30.0,,0.021844899692272407,0.14377320283496456,0.004139562121039618,0.003786107997037341,0.004427796086425875,-4.359060528570768e-06,-8.171024433400297e-06,-6.724444746649734e-07,426,24
B2_gat,45,random,30.0,0.0023,0.0034356279584690096,0.018568534773801486,0.002658692188517534,0.0017547786347774633,0.0035294168171869965,-1.0596385242401766e-06,-5.9671646267199984e-05,7.248947713967142e-05,55,8
B2_gat,46,tunnel,30.0,,0.022468691999608034,0.14304857621440537,0.00251800679588954,0.0023227589607018088,0.0026767050907142774,7.611839211833869e-05,5.135428937192857e-05,0.0001015857695344469,427,24
B2_gat,46,random,30.0,0.0023,0.0034356279584690096,0.01876675603217158,0.0010968780966056717,0.0005525613150678954,0.0016994773736996067,0.00012669954042460305,6.270425269918455e-05,0.00020087008071797136,56,10
H5_gat_degraded,42,tunnel,30.0,,0.021797332222993602,0.1431458403502863,0.0035408842497111743,0.0033488842529075186,0.003694394205273379,9.409027546955056e-05,6.296627331321835e-05,0.000129872711223237,425,24
H5_gat_degraded,42,random,30.0,0.0023,0.0034356279584690096,0.01853099730458221,0.0035356108910853464,0.0025396155390675803,0.004694815878597397,0.00016637311125366024,0.00010878131838588068,0.00022788099886581707,55,8
H5_gat_degraded,43,tunnel,30.0,,0.02344723988247119,0.14836488812392426,-0.000750597606032583,-0.0008349527034040582,-0.0006375296628752619,0.00015837706114468468,0.00010647224770997741,0.00021669874933546952,431,24
H5_gat_degraded,43,random,30.0,0.0023,0.0030351025588732684,0.012736660929432014,-0.0007601351039700522,-0.0015319887931396006,0.00012265933297842717,4.8808006840383475e-05,-1.5222602802487532e-06,0.00012071542441844913,37,6
H5_gat_degraded,44,tunnel,30.0,,0.02241974180042362,0.1411371237458194,-0.002585801034207656,-0.0027090975050000346,-0.002446511610099157,0.00014481849242688508,0.00010159991578113934,0.00018747660494464495,422,24
H5_gat_degraded,44,random,30.0,0.0023,0.002721663960789893,0.021746403479424557,-0.003684223524864448,-0.00549171190636862,-0.0024305613500984874,0.00025593942696408144,0.000142254016828613,0.0003744571054456128,65,12
H5_gat_degraded,45,tunnel,30.0,,0.02190921998311693,0.1446967129786513,0.004036655103852378,0.0036933403975026704,0.004316723706795244,-4.0272684667272736e-05,-4.7627824337976606e-05,-3.2961567829483423e-05,427,24
H5_gat_degraded,45,random,30.0,0.0023,0.0033238752386827853,0.016604540833615723,0.005039878479076198,0.0023754034281762656,0.009361809848731356,-6.345176618021893e-05,-0.00010753274100385798,-2.5623212156651745e-05,49,7
H5_gat_degraded,46,tunnel,30.0,,0.02192960110378072,0.14450474898236093,0.0021172899209859633,0.0019428687264261577,0.0022679587000811164,-8.257556182914061e-06,-1.5210501483009673e-05,-1.4740826449120698e-06,426,24
H5_gat_degraded,46,random,30.0,0.0023,0.003490101940605757,0.022048846675712348,0.002591147682719316,0.000884950132365831,0.005466751535279665,-4.75879309196337e-05,-0.00010073967859464425,2.898570908988203e-06,65,9
