model_id,model,training_seed,aggregation,mean_stale_attention_shift,n_stale_exposed_decisions
B2_gat,GAT,42,default_mean,0.005409677165453518,31
B2_gat,GAT,42,first_head_0,0.008032151256699035,31
B2_gat,GAT,42,first_head_1,-0.00764599752276812,31
B2_gat,GAT,42,first_head_2,0.009938898131651292,31
B2_gat,GAT,42,first_head_3,0.006190130507762325,31
B2_gat,GAT,42,first_max,0.005137025624460658,31
B2_gat,GAT,42,first_mean,0.004128791502023025,31
B2_gat,GAT,42,last_head_0,0.009138479030014754,31
B2_gat,GAT,42,last_head_1,0.006308759473237643,31
B2_gat,GAT,42,last_head_2,0.0004485457597174076,31
B2_gat,GAT,42,last_head_3,0.010866473773762143,31
B2_gat,GAT,42,last_max,0.008822251504155087,31
B2_gat,GAT,42,last_mean,0.006690562287870031,31
B2_gat,GAT,42,rollout_mean,0.0030396234876626793,31
B2_gat,GAT,43,default_mean,0.0004906252683176328,33
B2_gat,GAT,43,first_head_0,-0.004771842798621503,33
B2_gat,GAT,43,first_head_1,0.0022949790620008224,33
B2_gat,GAT,43,first_head_2,0.008411283156201644,33
B2_gat,GAT,43,first_head_3,-4.048033795806866e-05,33
B2_gat,GAT,43,first_max,-0.0025270195371460114,33
B2_gat,GAT,43,first_mean,0.0014734846036653833,33
B2_gat,GAT,43,last_head_0,-0.0024196587340196128,33
B2_gat,GAT,43,last_head_1,0.002353428958846948,33
B2_gat,GAT,43,last_head_2,-0.0009053957558066857,33
B2_gat,GAT,43,last_head_3,-0.0009972969237879682,33
B2_gat,GAT,43,last_max,0.0021945685901908502,33
B2_gat,GAT,43,last_mean,-0.0004922302327189589,33
B2_gat,GAT,43,rollout_mean,5.522941445534091e-05,33
B2_gat,GAT,44,default_mean,-0.004497663229543305,32
B2_gat,GAT,44,first_head_0,-0.008373051240445052,32
B2_gat,GAT,44,first_head_1,0.002390522774489983,32
B2_gat,GAT,44,first_head_2,-0.0009504648769881317,32
B2_gat,GAT,44,first_head_3,0.003397199093643703,32
B2_gat,GAT,44,first_max,-0.0032811793611736985,32
