model,training_seed,evaluation_seeds,episodes,mean_completed_passenger_journeys,mean_reward
B1_mlp,42,8,48,13.145833333333334,104.23878908596568
B1_mlp,43,8,48,12.604166666666666,98.56399268497277
B1_mlp,44,8,48,12.354166666666666,95.81906162782343
B1_mlp,45,8,48,11.729166666666668,89.17909824594966
B1_mlp,46,8,48,12.770833333333332,100.17428125562623
B2_gat,42,8,48,12.833333333333334,100.84005240399517
B2_gat,43,8,48,12.791666666666668,100.51697369678163
B2_gat,44,8,48,12.895833333333332,101.57195917749874
B2_gat,45,8,48,12.8125,100.69501723987227
B2_gat,46,8,48,12.916666666666666,101.79124980550534
H5_gat_degraded,42,8,48,12.958333333333334,102.24950730989995
H5_gat_degraded,43,8,48,12.270833333333334,94.99487176708733
H5_gat_degraded,44,8,48,12.8125,100.59497638676166
H5_gat_degraded,45,8,48,12.8125,100.74825486981479
H5_gat_degraded,46,8,48,12.75,100.04756962027615
