model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_primary_type_matched_def,mean_standard_type_matched_def_sensitivity,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_primary_type_matched_def_delta,mean_paired_primary_type_matched_def_m_delta
B2_gat,42,clean,0.0,8,12.833333333333334,0.0,395,0,0,-0.00028994910773776837,-2.00550534107067e-05,-0.0015223272563702614,0.0,,,,,,,
B2_gat,42,outage_duration,10.0,8,12.833333333333334,0.008167775273289612,730,335,335,-0.00018402233655198636,-1.0759649795965927e-05,-0.0011264570371100776,2.2235208175398838e-05,0.171628115687935,0.15401746607952646,0.0026967298003408905,0.8567164179104477,0.028604686800475235,-8.272611679722386e-06,-4.4034399944751354e-05
B2_gat,42,outage_duration,20.0,8,12.833333333333334,0.015782697701086194,986,607,607,-0.00013999025846458488,-4.784602399737167e-06,-0.0009137799850571046,4.489442188709796e-05,0.17155502885841672,0.14910716151933365,0.0035436158671372352,0.8467874794069192,0.0413982401900129,2.6025934444555404e-05,6.856644676485799e-05
B2_gat,42,outage_duration,30.0,8,12.833333333333334,0.02300790567666832,1214,851,851,-0.00012442850874128174,-1.1924233844057626e-07,-0.0008269733362060656,6.196185691745138e-05,0.1716981219099362,0.1448728211702072,0.0041605939912954,0.8401880141010576,0.05419427897706956,5.1146035352222026e-05,0.00016841449578906633
B2_gat,42,outage_duration,60.0,8,12.791666666666668,0.03176938036684345,1511,1193,1193,-9.889739659930957e-05,3.2018404100951434e-07,-0.0006389798104997779,8.347093226405642e-05,0.17291546023411225,0.13719877925350468,0.004874753253638183,0.8407376362112322,0.07681595307899565,0.0001426996495111524,0.0005206769222477424
B2_gat,43,clean,0.0,8,12.791666666666668,0.0,396,0,0,-0.00023811985325964167,-2.1370836702580183e-05,-0.001068494567176798,0.0,,,,,,,
B2_gat,43,outage_duration,10.0,8,12.791666666666668,0.008199263304076398,733,337,337,-0.0001132963247050932,0.0015585873530774817,-0.0004948023570630568,1.7860864821088696e-06,0.1691351508278446,0.14565873959217096,0.0006111300076106823,0.857566765578635,0.028189192644744156,7.089055286081089e-05,0.00026729044114800506
B2_gat,43,outage_duration,20.0,8,12.791666666666668,0.01579947288409907,991,611,611,-6.37511894088214e-05,0.0014780714613699046,-0.00018962525160824426,2.4435792948927065e-06,0.16852323541039296,0.13882706017584506,0.0006228125967644212,0.8477905073649754,0.040626528172717,0.0001046496055780443,0.00038394610038300543
B2_gat,43,outage_duration,30.0,8,12.791666666666668,0.023006460716733332,1224,860,860,-5.946727998997508e-05,0.0007863141117420151,-0.00012955996370355642,2.567534979384075e-06,0.16815631370962097,0.13312187707720308,0.0006633768646446394,0.8418604651162791,0.053076947896269835,0.00010691408616627823,0.0003990535256127977
B2_gat,43,outage_duration,60.0,8,12.791666666666668,0.03126153510444929,1525,1201,1201,-7.648438468638826e-05,0.0006327166590698962,-0.00026199818441742317,3.153442832894439e-06,0.168476868901508,0.12334590020503323,0.000712034360052195,0.832639467110741,0.07421253557429683,0.00011772929323470629,0.00044491152601410135
B2_gat,44,clean,0.0,8,12.895833333333332,0.0,398,0,0,-0.00027416555574105174,-1.931968818670549e-05,-0.0013355309251032977,0.0,,,,,,,
B2_gat,44,outage_duration,10.0,8,12.895833333333332,0.00814861636830495,735,337,337,-0.0001265549500563748,-6.426680556391557e-06,-0.0006445289154847467,5.858860457098815e-05,0.16417678773097721,0.1462986592471958,-0.0029296887186429236,0.0,0.027362798770637794,2.6512383294506326e-05,8.844497340015578e-05
B2_gat,44,outage_duration,20.0,8,12.895833333333332,0.015705667293442006,993,611,611,-6.87310925583714e-05,-1.5042911357697087e-06,-0.00032944865649778586,9.997706767455183e-05,0.16319999458752243,0.14060415730777376,-0.003400442760725258,0.01309328968903437,0.039307916043429265,4.8710345669125674e-05,0.00015717939688609196
