checkpoint,hypothesis,statistic,raw_p,holm_p,n,n_episode_blocks,ci95
B2_gat_seed_42,H1,0.08099938495257494,0.9999000099990001,1.0,3988,240,"[0.04121780504786969, 0.12113538159269054]"
B2_gat_seed_42,H2,-0.5112149199118532,1.0,1.0,32,,null
B2_gat_seed_42,H3,0.47846965836084504,9.999000099990002e-05,0.00039996000399960006,4836,240,"[0.44545368676688746, 0.5087979880953383]"
B2_gat_seed_42,H4,0.15377711751733572,1.0,1.0,176,176,null
B2_gat_seed_43,H1,0.09929785071685834,1.0,1.0,4021,240,"[0.05834132172540048, 0.1403005768397909]"
B2_gat_seed_43,H2,-0.6685065488713682,1.0,1.0,32,,null
B2_gat_seed_43,H3,0.476345955605711,9.999000099990002e-05,0.00039996000399960006,4869,240,"[0.4447129784858065, 0.5065137686735162]"
B2_gat_seed_43,H4,0.28672966007263156,1.0,1.0,176,176,null
B2_gat_seed_44,H1,0.0572910357082184,0.999000099990001,1.0,4033,240,"[0.019251305550218683, 0.09527290812895386]"
B2_gat_seed_44,H2,-0.6514933821974003,1.0,1.0,32,,null
B2_gat_seed_44,H3,0.48108445410081163,9.999000099990002e-05,0.00039996000399960006,4881,240,"[0.4492465720984161, 0.5113330330737493]"
B2_gat_seed_44,H4,0.19563665645395265,1.0,1.0,176,176,null
B2_gat_seed_45,H1,-0.03854444621497059,0.007799220077992201,0.007799220077992201,4029,240,"[-0.07074638525881598, -0.006028304317957169]"
B2_gat_seed_45,H2,0.4515763929567781,9.999000099990002e-05,0.00039996000399960006,32,,null
B2_gat_seed_45,H3,0.4827957767533712,9.999000099990002e-05,0.00039996000399960006,4877,240,"[0.45221624041501607, 0.5113404062148493]"
B2_gat_seed_45,H4,-0.06298203887528847,0.00029997000299970003,0.0005999400059994001,176,176,null
B2_gat_seed_46,H1,0.07597342532328692,0.9999000099990001,1.0,4025,240,"[0.03952595634508058, 0.11419718767305591]"
B2_gat_seed_46,H2,-0.5983497791177648,1.0,1.0,32,,null
B2_gat_seed_46,H3,0.4827592499380697,9.999000099990002e-05,0.00039996000399960006,4873,240,"[0.4531870378676134, 0.5102302927782825]"
B2_gat_seed_46,H4,0.14035616100025095,1.0,1.0,176,176,null
H5_gat_degraded_seed_42,H1,0.19776029297467146,1.0,1.0,4026,240,"[0.16356948017514625, 0.23365317140494407]"
H5_gat_degraded_seed_42,H2,-0.6409699014114643,1.0,1.0,32,,null
H5_gat_degraded_seed_42,H3,0.48114180115587474,9.999000099990002e-05,0.00039996000399960006,4874,240,"[0.4503748940652957, 0.509636049837456]"
H5_gat_degraded_seed_42,H4,0.3827233815742462,1.0,1.0,176,176,null
H5_gat_degraded_seed_43,H1,0.021851366218451462,0.7829217078292171,1.0,3997,240,"[-0.02765431379080001, 0.07350596560588818]"
H5_gat_degraded_seed_43,H2,-0.5269694335003343,1.0,1.0,32,,null
H5_gat_degraded_seed_43,H3,0.48610472424948703,9.999000099990002e-05,0.00039996000399960006,4845,240,"[0.4534022732904972, 0.5165392556655906]"
H5_gat_degraded_seed_43,H4,0.28285212559449874,1.0,1.0,176,176,null
H5_gat_degraded_seed_44,H1,0.12300172146879912,1.0,1.0,4003,240,"[0.09303541068956903, 0.1543232334299645]"
H5_gat_degraded_seed_44,H2,-1.4858347799411158,1.0,1.0,32,,null
H5_gat_degraded_seed_44,H3,0.46581130710673097,9.999000099990002e-05,0.00039996000399960006,4851,240,"[0.43289192595969755, 0.49764195845539205]"
H5_gat_degraded_seed_44,H4,0.27142869001799214,1.0,1.0,176,176,null
H5_gat_degraded_seed_45,H1,-0.11368203680287874,9.999000099990002e-05,0.00039996000399960006,4025,240,"[-0.14726337330250047, -0.08025614301170086]"
H5_gat_degraded_seed_45,H2,7.719391531028864,0.00019998000199980003,0.00039996000399960006,32,,null
H5_gat_degraded_seed_45,H3,0.48100649995120687,9.999000099990002e-05,0.00039996000399960006,4873,240,"[0.4507378556045916, 0.5108318261229182]"
H5_gat_degraded_seed_45,H4,-0.15167520927012293,9.999000099990002e-05,0.00039996000399960006,176,176,null
H5_gat_degraded_seed_46,H1,-0.03683046925859378,0.0164983501649835,0.0494950504949505,4005,240,"[-0.06673231017808107, -0.005673708480725774]"
H5_gat_degraded_seed_46,H2,-0.4220351686163655,1.0,1.0,32,,null
H5_gat_degraded_seed_46,H3,0.48101967967350556,9.999000099990002e-05,0.00039996000399960006,4853,240,"[0.4492811062910509, 0.5128498150384444]"
H5_gat_degraded_seed_46,H4,-0.012372336105652222,0.2852714728527147,0.5705429457054294,176,176,null
