checkpoint,condition,metric,mean,ci95_low,ci95_high,n_episode_blocks,n_decisions,n_missing_metric
B2_gat_seed_42,clean,primary_def,0.00010955407017329979,7.14686487077011e-05,0.00014968295448203708,38,66,0
B2_gat_seed_42,clean,primary_def_m,0.0004981835655955196,0.0003143479106321453,0.0006831932805985079,38,66,0
B2_gat_seed_42,outage_60s,primary_def,6.752922501775044e-05,4.8042474045951336e-05,8.502109192916807e-05,48,388,0
B2_gat_seed_42,outage_60s,primary_def_m,0.0003357045539483593,0.00023919131926390043,0.00042463640119867166,48,388,0
B2_gat_seed_43,clean,primary_def,1.9783593576263513e-05,-2.214394921988798e-05,6.774862559029348e-05,30,43,0
B2_gat_seed_43,clean,primary_def_m,0.00021197955365534179,-8.263024604982669e-06,0.0004526387939436567,30,43,0
B2_gat_seed_43,outage_60s,primary_def,-0.00016429932612109987,-0.0003311624005988595,-4.29811583505455e-05,48,288,0
B2_gat_seed_43,outage_60s,primary_def_m,-0.0006038296103761108,-0.0013265237633719026,-8.810246286301498e-05,48,288,0
B2_gat_seed_44,clean,primary_def,0.00010278138021628064,4.9010212577524675e-05,0.00016312348700705026,35,52,0
B2_gat_seed_44,clean,primary_def_m,0.0005671341492543147,0.0002597580744574467,0.0009056146405932926,35,52,0
B2_gat_seed_44,outage_60s,primary_def,-1.3474854053926913e-05,-3.975460968881674e-05,1.3977192771994365e-05,48,326,0
B2_gat_seed_44,outage_60s,primary_def_m,3.2041950806423374e-06,-0.00015727692615956075,0.00017109946897828687,48,326,0
B2_gat_seed_45,clean,primary_def,-2.6817101249356326e-05,-4.971047803000721e-05,-5.661945439369213e-06,36,54,0
B2_gat_seed_45,clean,primary_def_m,-8.579364713327382e-05,-0.00018876609426957575,1.374941250240363e-05,36,54,0
B2_gat_seed_45,outage_60s,primary_def,-1.7036772801784553e-07,-5.160571704935358e-06,4.688410072657091e-06,48,342,0
B2_gat_seed_45,outage_60s,primary_def_m,2.2076608177020704e-05,-6.27280341311082e-06,5.0025639790788954e-05,48,342,0
B2_gat_seed_46,clean,primary_def,0.00018262629589391115,5.2565362038356904e-05,0.0003574065159828886,35,55,0
B2_gat_seed_46,clean,primary_def_m,0.0008876675568402762,0.00034186581223611794,0.001605942726992662,35,55,0
B2_gat_seed_46,outage_60s,primary_def,8.254560056247452e-05,2.727819624018663e-05,0.00014582575614547702,48,356,0
B2_gat_seed_46,outage_60s,primary_def_m,0.0004697342690318804,0.00021371603775680972,0.0007601535445019038,48,356,0
H5_gat_degraded_seed_42,clean,primary_def,0.00017581157570267902,0.00013210396627309147,0.00022311242285793947,36,54,0
H5_gat_degraded_seed_42,clean,primary_def_m,0.0008693936585598154,0.0006801137847130267,0.001063411252150588,36,54,0
H5_gat_degraded_seed_42,outage_60s,primary_def,3.804254538132458e-05,2.437080124303176e-05,5.1214043515687914e-05,48,343,0
H5_gat_degraded_seed_42,outage_60s,primary_def_m,0.0001647411884106286,8.611439340473381e-05,0.0002431313367676385,48,343,0
H5_gat_degraded_seed_43,clean,primary_def,-0.0005210775819917519,-0.001109821316320449,-1.2702339173605217e-05,10,14,0
H5_gat_degraded_seed_43,clean,primary_def_m,-0.004048981467882792,-0.00887658746788899,-6.281966964404238e-06,10,14,0
H5_gat_degraded_seed_43,outage_60s,primary_def,-0.0009067005357584794,-0.0012056295968894217,-0.0006323743582208144,37,95,0
H5_gat_degraded_seed_43,outage_60s,primary_def_m,-0.008090029531592005,-0.011037726945078766,-0.005530225368322912,37,95,0
H5_gat_degraded_seed_44,clean,primary_def,2.4188024196190027e-05,8.632368469170346e-06,4.1392016816258095e-05,39,73,0
H5_gat_degraded_seed_44,clean,primary_def_m,0.0001118553969000819,2.9250685615130705e-05,0.00020760787830706635,39,73,0
H5_gat_degraded_seed_44,outage_60s,primary_def,-0.00012149967155071887,-0.0001431752220706795,-9.950566546906395e-05,48,412,0
H5_gat_degraded_seed_44,outage_60s,primary_def_m,-0.0005915585576347508,-0.0007038365531491172,-0.00047746755472035697,48,412,0
H5_gat_degraded_seed_45,clean,primary_def,-1.3255885550900132e-05,-3.611301734215686e-05,7.83069587002194e-06,35,49,0
H5_gat_degraded_seed_45,clean,primary_def_m,-2.301235284124097e-05,-0.00013553576455229804,8.107215999847356e-05,35,49,0
H5_gat_degraded_seed_45,outage_60s,primary_def,1.9900938583031228e-05,1.3660640401710556e-05,2.5825407125439438e-05,48,306,0
H5_gat_degraded_seed_45,outage_60s,primary_def_m,0.00014555623211771248,0.00010471130097369282,0.0001854240815964528,48,306,0
H5_gat_degraded_seed_46,clean,primary_def,6.465521352044465e-05,-3.420141782483151e-05,0.00017381159556580003,29,41,0
H5_gat_degraded_seed_46,clean,primary_def_m,0.0005663126664257598,-2.1284268044963055e-05,0.0012256105044514108,29,41,0
H5_gat_degraded_seed_46,outage_60s,primary_def,0.0001274140063015884,8.58738961062013e-05,0.00017192910475855006,48,276,0
H5_gat_degraded_seed_46,outage_60s,primary_def_m,0.001053388780516274,0.0007320717943654781,0.0013827802259644103,48,276,0
