model,training_seed,evaluation_seeds,episodes,mean_pickups,mean_reward
B1_mlp,42,8,24,13.583333333333334,104.94733333333333
B1_mlp,43,8,24,11.5,99.65158333333332
B1_mlp,44,8,24,14.666666666666668,116.07808333333332
B2_gat,42,8,24,14.666666666666668,118.57883333333334
B2_gat,43,8,24,13.75,105.73733333333332
B2_gat,44,8,24,11.458333333333334,80.40283333333333
B3_gat_noaoi,42,8,24,14.666666666666668,118.57883333333334
B3_gat_noaoi,43,8,24,13.75,105.73733333333332
B3_gat_noaoi,44,8,24,11.458333333333334,80.40283333333333
H5_gat_degraded,42,8,24,12.875,110.76870833333334
H5_gat_degraded,43,8,24,11.25,77.57670833333333
H5_gat_degraded,44,8,24,4.541666666666666,3.1212500000000007
