model_id,model,condition,field,label,mean,ci95,n_episode_blocks,n_request_decisions
B2_gat,B2,clean,self_row_request_def_m,Fixed self row,-0.0030829722115980358,"[-0.0036709185626714515, -0.002516727554056032]",72,2363
B2_gat,B2,outage_60s,self_row_request_def_m,Fixed self row,-0.003116054473803699,"[-0.003714814016043895, -0.002518194372750775]",72,2354
H5_gat_degraded,D30,clean,self_row_request_def_m,Fixed self row,-0.006775763627446535,"[-0.0076525273852974425, -0.0059362990478689865]",72,2356
H5_gat_degraded,D30,outage_60s,self_row_request_def_m,Fixed self row,-0.006630476654382911,"[-0.0075161217666788556, -0.005784271991337431]",72,2349
B2_gat,B2,clean,action_row_request_def_m,Selected request row,-0.000868649898027618,"[-0.001873426283790689, 6.20611596014125e-05]",72,2363
B2_gat,B2,outage_60s,action_row_request_def_m,Selected request row,-0.0008706274319768449,"[-0.0018445740841831536, 7.061180508266795e-05]",72,2354
H5_gat_degraded,D30,clean,action_row_request_def_m,Selected request row,-0.004310545219705855,"[-0.005785704207063795, -0.0028249748094810226]",72,2356
H5_gat_degraded,D30,outage_60s,action_row_request_def_m,Selected request row,-0.004233597119479278,"[-0.005651622668571858, -0.0027303357763768864]",72,2349
B2_gat,B2,clean,action_row_request_gap_m,Request row minus self row,0.002212110057231711,"[0.0015273868024266038, 0.0029296779561655637]",72,2363
B2_gat,B2,outage_60s,action_row_request_gap_m,Request row minus self row,0.0022444323807512207,"[0.001547858973326054, 0.0029360347310440275]",72,2354
H5_gat_degraded,D30,clean,action_row_request_gap_m,Request row minus self row,0.0024646573699801735,"[0.001715029172469069, 0.0032771211922694677]",72,2356
H5_gat_degraded,D30,outage_60s,action_row_request_gap_m,Request row minus self row,0.002396615524783618,"[0.0015942468401187624, 0.0032231653347360467]",72,2349
