model_id,model,training_seed,aggregation,mean_stale_attention_shift,n_stale_exposed_decisions
B2_gat,B2,42,default_mean,0.004566304347826088,92
B2_gat,B2,42,first_head_0,0.0058229673913043475,92
B2_gat,B2,42,first_head_1,-0.0028852391304347823,92
B2_gat,B2,42,first_head_2,0.008365358695652173,92
B2_gat,B2,42,first_head_3,0.0003437934782608696,92
B2_gat,B2,42,first_max,0.005495086956521739,92
B2_gat,B2,42,first_mean,0.0029117173913043486,92
B2_gat,B2,42,last_head_0,0.008940456521739129,92
B2_gat,B2,42,last_head_1,0.006479521739130436,92
B2_gat,B2,42,last_head_2,0.001662228260869565,92
B2_gat,B2,42,last_head_3,0.007866260869565217,92
B2_gat,B2,42,last_max,0.006840934782608694,92
B2_gat,B2,42,last_mean,0.006237217391304346,92
B2_gat,B2,42,rollout_mean,0.0024616956521739133,92
B2_gat,B2,43,default_mean,0.0004684782608695652,92
B2_gat,B2,43,first_head_0,-0.002910543478260869,92
B2_gat,B2,43,first_head_1,0.0014936195652173914,92
B2_gat,B2,43,first_head_2,0.007166521739130435,92
B2_gat,B2,43,first_head_3,-0.0002525217391304349,92
B2_gat,B2,43,first_max,0.0017684565217391305,92
B2_gat,B2,43,first_mean,0.0013742499999999998,92
B2_gat,B2,43,last_head_0,-0.0026394347826086957,92
B2_gat,B2,43,last_head_1,0.0021317065217391308,92
B2_gat,B2,43,last_head_2,-0.0005763804347826085,92
B2_gat,B2,43,last_head_3,-0.000637695652173913,92
B2_gat,B2,43,last_max,0.0015281847826086959,92
B2_gat,B2,43,last_mean,-0.0004304565217391303,92
B2_gat,B2,43,rollout_mean,-1.3304347826086933e-05,92
B2_gat,B2,44,default_mean,-0.003526086956521739,92
B2_gat,B2,44,first_head_0,-0.00896438043478261,92
B2_gat,B2,44,first_head_1,0.0008200760869565219,92
B2_gat,B2,44,first_head_2,-0.0019216304347826087,92
B2_gat,B2,44,first_head_3,0.006328967391304347,92
B2_gat,B2,44,first_max,-0.00360341304347826,92
B2_gat,B2,44,first_mean,-0.0009342065217391303,92
B2_gat,B2,44,last_head_0,-0.003918065217391303,92
B2_gat,B2,44,last_head_1,-0.002750510869565217,92
B2_gat,B2,44,last_head_2,-0.01087726086956522,92
B2_gat,B2,44,last_head_3,-0.0069440543478260855,92
B2_gat,B2,44,last_max,-0.005051695652173912,92
B2_gat,B2,44,last_mean,-0.006122380434782609,92
B2_gat,B2,44,rollout_mean,-0.0014265760869565218,92
H5_gat_degraded,D30,42,default_mean,0.004839603960396039,101
H5_gat_degraded,D30,42,first_head_0,0.006180940594059406,101
H5_gat_degraded,D30,42,first_head_1,-0.004183356435643564,101
H5_gat_degraded,D30,42,first_head_2,0.00872209900990099,101
H5_gat_degraded,D30,42,first_head_3,0.0023467128712871287,101
H5_gat_degraded,D30,42,first_max,0.005202762376237624,101
H5_gat_degraded,D30,42,first_mean,0.0032666138613861384,101
H5_gat_degraded,D30,42,last_head_0,0.008545415841584159,101
H5_gat_degraded,D30,42,last_head_1,0.0067178910891089105,101
H5_gat_degraded,D30,42,last_head_2,0.001632574257425743,101
H5_gat_degraded,D30,42,last_head_3,0.008757891089108912,101
H5_gat_degraded,D30,42,last_max,0.007162415841584159,101
H5_gat_degraded,D30,42,last_mean,0.006413366336633664,101
H5_gat_degraded,D30,42,rollout_mean,0.002652346534653465,101
H5_gat_degraded,D30,43,default_mean,0.0011775280898876403,89
H5_gat_degraded,D30,43,first_head_0,-0.0006325168539325843,89
H5_gat_degraded,D30,43,first_head_1,0.0002140898876404494,89
H5_gat_degraded,D30,43,first_head_2,0.005580022471910112,89
H5_gat_degraded,D30,43,first_head_3,0.0035595056179775282,89
H5_gat_degraded,D30,43,first_max,0.003412078651685393,89
H5_gat_degraded,D30,43,first_mean,0.002180258426966292,89
H5_gat_degraded,D30,43,last_head_0,-0.0034843033707865163,89
H5_gat_degraded,D30,43,last_head_1,0.00316961797752809,89
H5_gat_degraded,D30,43,last_head_2,-0.0008420786516853933,89
H5_gat_degraded,D30,43,last_head_3,0.0019130337078651688,89
H5_gat_degraded,D30,43,last_max,0.0024965955056179775,89
H5_gat_degraded,D30,43,last_mean,0.0001890337078651685,89
H5_gat_degraded,D30,43,rollout_mean,-1.7134831460674154e-05,89
H5_gat_degraded,D30,44,default_mean,-0.0030383720930232555,86
H5_gat_degraded,D30,44,first_head_0,-0.008078034883720931,86
H5_gat_degraded,D30,44,first_head_1,0.0008556976744186047,86
H5_gat_degraded,D30,44,first_head_2,-0.0013975697674418605,86
H5_gat_degraded,D30,44,first_head_3,0.006373174418604651,86
H5_gat_degraded,D30,44,first_max,-0.0032811860465116285,86
H5_gat_degraded,D30,44,first_mean,-0.0005615930232558139,86
H5_gat_degraded,D30,44,last_head_0,-0.004007255813953489,86
H5_gat_degraded,D30,44,last_head_1,-0.0025290232558139534,86
H5_gat_degraded,D30,44,last_head_2,-0.009669290697674419,86
H5_gat_degraded,D30,44,last_head_3,-0.0058093488372093025,86
H5_gat_degraded,D30,44,last_max,-0.004481511627906976,86
H5_gat_degraded,D30,44,last_mean,-0.0055038488372093014,86
H5_gat_degraded,D30,44,rollout_mean,-0.0011984302325581395,86
