model_id,model,condition,ranker,field,mean,ci95,n_episode_blocks,n_decisions
B2_gat,B2,clean,Raw attention,attention_control_def_m,0.00030392893823800283,"[-6.030827854156791e-05, 0.0006431452906340823]",72,4005
B2_gat,B2,outage_60s,Raw attention,attention_control_def_m,0.0002985707214306492,"[-4.610088680966945e-05, 0.0006163870355037315]",72,3979
H5_gat_degraded,D30,clean,Raw attention,attention_control_def_m,0.0015810173761096216,"[0.0012745869200756494, 0.001878894663457136]",72,4078
H5_gat_degraded,D30,outage_60s,Raw attention,attention_control_def_m,0.001559055982361245,"[0.0012571139315351552, 0.0018711316289431231]",72,4057
B2_gat,B2,clean,Gradient x Input,grad_x_input_def_m,-0.0025294126666351533,"[-0.0033265130689261583, -0.0017182193076032532]",72,4005
B2_gat,B2,outage_60s,Gradient x Input,grad_x_input_def_m,-0.0025019998478937808,"[-0.0033096884453669042, -0.0016891220234365597]",72,3979
H5_gat_degraded,D30,clean,Gradient x Input,grad_x_input_def_m,0.0007432521961088294,"[-7.208083109126506e-05, 0.0015834831992130795]",72,4078
H5_gat_degraded,D30,outage_60s,Gradient x Input,grad_x_input_def_m,0.0006699008297889037,"[-0.00011580763668847745, 0.0014658468735172683]",72,4057
B2_gat,B2,clean,LOO control,loo_oracle_def_m,0.004585966122828201,"[0.0036186684351417913, 0.005673536012737853]",72,4005
B2_gat,B2,outage_60s,LOO control,loo_oracle_def_m,0.0046853529813039065,"[0.003652226962212897, 0.0058032673145281535]",72,3979
H5_gat_degraded,D30,clean,LOO control,loo_oracle_def_m,0.005108251712643457,"[0.0043548881724889705, 0.005920971880254254]",72,4078
H5_gat_degraded,D30,outage_60s,LOO control,loo_oracle_def_m,0.005152853594038739,"[0.00437683991866, 0.005986722137098165]",72,4057
