model_id,model,condition,ranker,field,minimum_valid_non_self_nodes,mean,ci95,n_episode_blocks,n_decisions
B2_gat,B2,clean,Raw attention,attention_control_def_m,6,0.00030392893823800283,"[-5.6226924975418545e-05, 0.0006334241882358532]",72,4005
B2_gat,B2,outage_60s,Raw attention,attention_control_def_m,6,0.0002985707214306492,"[-4.857939685284094e-05, 0.0006295171992915847]",72,3979
H5_gat_degraded,D30,clean,Raw attention,attention_control_def_m,6,0.0015810173761096216,"[0.0012760404099341237, 0.0019008224036516116]",72,4078
H5_gat_degraded,D30,outage_60s,Raw attention,attention_control_def_m,6,0.001559055982361245,"[0.0012572963623418475, 0.001878560561707995]",72,4057
B2_gat,B2,clean,Gradient x Input,grad_x_input_def_m,6,-0.0025294126666351533,"[-0.0033024778461429763, -0.0017213336319357423]",72,4005
B2_gat,B2,outage_60s,Gradient x Input,grad_x_input_def_m,6,-0.0025019998478937808,"[-0.00331765777589863, -0.001711751862886643]",72,3979
H5_gat_degraded,D30,clean,Gradient x Input,grad_x_input_def_m,6,0.0007432521961088294,"[-4.4072520415018555e-05, 0.0016162279762677897]",72,4078
H5_gat_degraded,D30,outage_60s,Gradient x Input,grad_x_input_def_m,6,0.0006699008297889037,"[-0.00012490833057756504, 0.0014787536477583493]",72,4057
B2_gat,B2,clean,LOO control,loo_oracle_def_m,6,0.004585966122828201,"[0.0035896171953700828, 0.005662548006928806]",72,4005
B2_gat,B2,outage_60s,LOO control,loo_oracle_def_m,6,0.0046853529813039065,"[0.0036761466733930145, 0.005824126175710364]",72,3979
H5_gat_degraded,D30,clean,LOO control,loo_oracle_def_m,6,0.005108251712643457,"[0.0043448811206445335, 0.005942145921192387]",72,4078
H5_gat_degraded,D30,outage_60s,LOO control,loo_oracle_def_m,6,0.005152853594038739,"[0.004400117123400448, 0.0059750496190816]",72,4057
