model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,B2,clean,42,attention_control_def_m,0.0003125744076362537,24,2064
B2_gat,B2,clean,43,attention_control_def_m,-0.000879475599523678,24,803
B2_gat,B2,clean,44,attention_control_def_m,0.0014786880066014326,24,1138
B2_gat,B2,outage_60s,42,attention_control_def_m,0.0002760466903208923,24,2045
B2_gat,B2,outage_60s,43,attention_control_def_m,-0.0008876634913515987,24,796
B2_gat,B2,outage_60s,44,attention_control_def_m,0.001507328965322654,24,1138
H5_gat_degraded,D30,clean,42,attention_control_def_m,0.001057014654477631,24,1085
H5_gat_degraded,D30,clean,43,attention_control_def_m,0.0005841818527879623,24,1685
H5_gat_degraded,D30,clean,44,attention_control_def_m,0.003101855621063271,24,1308
H5_gat_degraded,D30,outage_60s,42,attention_control_def_m,0.000986237765770096,24,1079
H5_gat_degraded,D30,outage_60s,43,attention_control_def_m,0.0005587858881632594,24,1677
H5_gat_degraded,D30,outage_60s,44,attention_control_def_m,0.00313214429315038,24,1301
B2_gat,B2,clean,42,grad_x_input_def_m,-0.005483934131485606,24,2064
B2_gat,B2,clean,43,grad_x_input_def_m,-0.0032980501465050423,24,803
B2_gat,B2,clean,44,grad_x_input_def_m,0.001193746278085187,24,1138
B2_gat,B2,outage_60s,42,grad_x_input_def_m,-0.005497051788581345,24,2045
B2_gat,B2,outage_60s,43,grad_x_input_def_m,-0.0032269017961172462,24,796
B2_gat,B2,outage_60s,44,grad_x_input_def_m,0.0012179540410172498,24,1138
H5_gat_degraded,D30,clean,42,grad_x_input_def_m,-0.0019315696209196928,24,1085
H5_gat_degraded,D30,clean,43,grad_x_input_def_m,-0.0010296803884250981,24,1685
H5_gat_degraded,D30,clean,44,grad_x_input_def_m,0.0051910065976712785,24,1308
H5_gat_degraded,D30,outage_60s,42,grad_x_input_def_m,-0.0019235446036164397,24,1079
H5_gat_degraded,D30,outage_60s,43,grad_x_input_def_m,-0.0010037080952289142,24,1677
H5_gat_degraded,D30,outage_60s,44,grad_x_input_def_m,0.004936955188212065,24,1301
B2_gat,B2,clean,42,loo_oracle_def_m,0.0008338934738514304,24,2064
B2_gat,B2,clean,43,loo_oracle_def_m,0.009930134845859716,24,803
B2_gat,B2,clean,44,loo_oracle_def_m,0.0029938700487734536,24,1138
B2_gat,B2,outage_60s,42,loo_oracle_def_m,0.000850554953183905,24,2045
B2_gat,B2,outage_60s,43,loo_oracle_def_m,0.010235931560433849,24,796
B2_gat,B2,outage_60s,44,loo_oracle_def_m,0.002969572430293965,24,1138
H5_gat_degraded,D30,clean,42,loo_oracle_def_m,0.002019392067121208,24,1085
H5_gat_degraded,D30,clean,43,loo_oracle_def_m,0.008894296669765909,24,1685
H5_gat_degraded,D30,clean,44,loo_oracle_def_m,0.004411066401043253,24,1308
H5_gat_degraded,D30,outage_60s,42,loo_oracle_def_m,0.0020453162924965462,24,1079
H5_gat_degraded,D30,outage_60s,43,loo_oracle_def_m,0.0089654888571587,24,1677
H5_gat_degraded,D30,outage_60s,44,loo_oracle_def_m,0.004447755632460971,24,1301
B2_gat,B2,clean,42,taxi_attention_loo_spearman,0.08792212321186939,24,2064
B2_gat,B2,clean,43,taxi_attention_loo_spearman,0.4040382265472345,24,802
B2_gat,B2,clean,44,taxi_attention_loo_spearman,0.4259039138179163,24,1137
B2_gat,B2,outage_60s,42,taxi_attention_loo_spearman,0.06469117653199796,24,2045
B2_gat,B2,outage_60s,43,taxi_attention_loo_spearman,0.38516866314959125,24,794
B2_gat,B2,outage_60s,44,taxi_attention_loo_spearman,0.4258847651866886,24,1137
H5_gat_degraded,D30,clean,42,taxi_attention_loo_spearman,0.47173451135198813,24,1080
H5_gat_degraded,D30,clean,43,taxi_attention_loo_spearman,0.6020319574979519,24,1683
