model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_type_matched_def,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_type_matched_def_delta,mean_paired_type_matched_def_m_delta
B2_gat,42,clean,0.0,8,14.145833333333332,0.0,2077,0,0,3.85578367551327e-06,-0.0006253333333333334,0.0,,,,,,,
B2_gat,42,outage_duration,10.0,8,14.145833333333332,0.0019645833333333334,2455,382,382,3.667697746354397e-06,-0.0004779220779220779,8.513238289205704e-06,0.17047617801047119,0.1505688481675393,0.0030115183246073297,0.8324607329842932,0.028400785340314136,-2.617801047120419e-07,-6.753926701570682e-05
B2_gat,42,outage_duration,20.0,8,14.125,0.00394375,2780,719,719,3.4389489953632147e-06,-0.00044634146341463414,1.658273381294964e-05,0.17029360222531295,0.14605618915159943,0.003743115438108484,0.8219749652294854,0.041666203059805285,-1.3908205841446452e-07,-0.00017705146036161334
B2_gat,42,outage_duration,30.0,8,14.125,0.005841666666666667,3065,1051,1051,3.1326139923424997e-06,-0.00041011235955056187,2.362153344208809e-05,0.17088943862987632,0.1423151284490961,0.004283063748810657,0.8201712654614652,0.05569847764034253,-1.9029495718363465e-07,-0.00029381541389153184
B2_gat,42,outage_duration,60.0,8,14.1875,0.011133333333333334,3779,1806,1806,-4.7393364928909956e-07,0.00011451612903225805,4.736702831436888e-05,0.17133992248062016,0.1325079734219269,0.005447895902547064,0.8028792912513842,0.09002242524916942,-1.3676633444075306e-05,-0.0005574197120708748
B2_gat,43,clean,0.0,8,9.0,0.0,856,0,0,0.00033273195876288664,-0.0021933962264150944,0.0,,,,,,,
B2_gat,43,outage_duration,10.0,8,8.875,0.004504166666666666,1203,351,351,0.00028288822947576653,-0.0020903508771929827,2.493765586034913e-07,0.1664196581196581,0.1399122507122507,0.00011253561253561252,0.8062678062678063,0.027741880341880343,-1.1680911680911682e-05,-0.0003028490028490029
B2_gat,43,outage_duration,20.0,8,8.875,0.008702083333333333,1489,654,654,9.961449498843484e-05,-0.0020380281690140843,7.387508394895903e-07,0.1662414373088685,0.13272767584097858,0.00010351681957186541,0.7889908256880734,0.04065336391437309,-0.00010152905198776759,-0.014449847094801228
B2_gat,43,outage_duration,30.0,8,8.875,0.012458333333333333,1732,937,937,0.00014305194805194806,-0.0019559748427672953,3.5219399538106238e-06,0.1665725720384205,0.1269760939167556,0.0001991462113127001,0.6371398078975453,0.05373617929562434,-5.069370330843116e-05,-0.011861259338313767
B2_gat,43,outage_duration,60.0,8,8.9375,0.020904166666666668,2231,1476,1476,0.00026395291809710645,-0.0018858823529411767,1.2415956969968625e-05,0.16671605691056912,0.1145729674796748,0.00032710027100270995,0.41124661246612465,0.08193773712737128,-2.9132791327913175e-06,-0.01300338753387534
B2_gat,44,clean,0.0,8,11.541666666666668,0.0,1178,0,0,0.00019444444444444443,-0.006112977099236641,0.0,,,,,,,
B2_gat,44,outage_duration,10.0,8,11.541666666666668,0.0027979166666666664,1524,347,347,0.00016156156156156155,-0.005997841726618706,2.526246719160105e-05,0.16497204610951008,0.14855504322766572,-0.002584438040345821,0.002881844380403458,0.027493948126801147,0.0,-2.3054755043227668e-05
B2_gat,44,outage_duration,20.0,8,11.541666666666668,0.005541666666666667,1807,643,643,0.00013758513931888547,-0.005748322147651006,4.5655783065855014e-05,0.16361975116640745,0.14313265940902023,-0.003166096423017107,0.003110419906687403,0.03969626749611197,4.6656298600311046e-07,1.166407465007776e-05
B2_gat,44,outage_duration,30.0,8,11.541666666666668,0.008147916666666668,2052,934,934,0.0001267741935483871,-0.005469938650306748,6.076998050682261e-05,0.16277526766595288,0.13822997858672376,-0.003585867237687366,0.0032119914346895075,0.05239796573875803,2.1413276231263384e-06,7.087794432548179e-05
B2_gat,44,outage_duration,60.0,8,11.541666666666668,0.015,2614,1532,1532,0.00014797687861271676,-0.005450232558139535,9.055087987758226e-05,0.15991422976501307,0.12671540469973888,-0.004648955613577024,0.02349869451697128,0.0804001958224543,2.787206266318538e-05,0.0002843994778067885
